"ID";"ModesOfTravel";"Population";"Margins";"RegionCharacteristics";"Periods";"TransportPerformance_1"
"312";"T001093";"A048710";"MBG0095";"1018905 ";"2020JJ00";"    47.7"
"313";"T001093";"A048710";"MBG0095";"1018905 ";"2021JJ00";"    52.4"
"314";"T001093";"A048710";"MBG0095";"1018905 ";"2022JJ00";"    58.1"
"315";"T001093";"A048710";"MBG0095";"1018955 ";"2018JJ00";"    36.1"
"316";"T001093";"A048710";"MBG0095";"1018955 ";"2019JJ00";"    37.3"
"317";"T001093";"A048710";"MBG0095";"1018955 ";"2020JJ00";"    25.8"
"318";"T001093";"A048710";"MBG0095";"1018955 ";"2021JJ00";"    26.8"
"319";"T001093";"A048710";"MBG0095";"1018955 ";"2022JJ00";"    32.2"
"320";"T001093";"A048710";"MBG0095";"1019005 ";"2018JJ00";"    53.8"
"321";"T001093";"A048710";"MBG0095";"1019005 ";"2019JJ00";"    52.6"
"322";"T001093";"A048710";"MBG0095";"1019005 ";"2020JJ00";"    37.1"
"323";"T001093";"A048710";"MBG0095";"1019005 ";"2021JJ00";"    42.3"
"324";"T001093";"A048710";"MBG0095";"1019005 ";"2022JJ00";"    46.0"
"325";"T001093";"A048710";"MBG0095";"1019052 ";"2018JJ00";"    19.8"
"326";"T001093";"A048710";"MBG0095";"1019052 ";"2019JJ00";"    21.4"
"327";"T001093";"A048710";"MBG0095";"1019052 ";"2020JJ00";"    15.2"
